SIZE,TIME 
5000,0.6949034407734871
10000,1.436188817024231
15000,2.2704394459724426
20000,2.8635772578418255
25000,3.7252026796340942
30000,4.580310944467783
35000,5.438587240874767
40000,6.018141809850931
45000,6.906885117292404
50000,7.832868490368128
55000,8.650659441947937
60000,9.512259881943464
65000,10.33775831758976
70000,11.24147068709135
75000,11.851314753293991
80000,12.575908616185188
85000,13.738882809877396
90000,14.312661625444889
95000,15.294380869716406
100000,16.0964756347239
105000,17.04478143528104
110000,18.160772245377302
115000,19.089035626500845
120000,20.198161378502846
125000,21.15231056883931
130000,21.909367311745882
135000,23.218035995960236
140000,23.87933998927474
145000,24.893236063420773
150000,25.243973806500435
155000,26.144210502505302
160000,26.626715440303087
165000,27.333615753799677
170000,28.376636248081923
175000,29.192978996783495
180000,29.85661993548274
185000,31.233818110078573
190000,32.27985081076622
195000,33.32880437374115
200000,34.000848684459925
